City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Itarema,BR,79.34,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
463,Sars,RU,76.73,broken clouds,56.5502,57.1366,Gostinitsa Vizit
464,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
465,Tual,ID,79.52,light rain,-5.6667,132.75,Grand Vilia Hotel
469,Touros,BR,75.79,clear sky,-5.1989,-35.4608,INN NEW HORIZON
475,Heerenveen,NL,75.96,overcast clouds,52.95,5.9333,Fletcher Hotel-Restaurant Heidehof
478,Aras,ES,75.61,clear sky,42.5617,-2.356,Jardines de Viana Spa
481,Tabou,CI,77.58,overcast clouds,4.423,-7.3528,hotêl doufoulougou
484,Bathsheba,BB,80.06,broken clouds,13.2167,-59.5167,Atlantis Hotel
485,Cozumel,MX,79.88,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
486,Jasper,US,76.44,overcast clouds,37.2001,-94.3502,Guest House Motel
487,Namatanai,PG,80.04,light rain,-3.6667,152.4333,Seagulls Inn Namatani
490,Arrecife,ES,80.58,clear sky,28.963,-13.5477,Hotel Lancelot
495,Wamba,NG,82.36,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
496,Utrecht,NL,80.1,light rain,52.0,5.25,Night Dijk
497,Gigmoto,PH,81.97,moderate rain,13.7796,124.39,Cj's Travellers Inn
498,Kalulushi,ZM,78.21,few clouds,-12.8378,28.0919,Nobutula Lodge
502,Benguela,AO,75.99,few clouds,-12.5763,13.4055,Hotel Praia Morena
504,Kuryk,KZ,81.68,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
510,Isla Mujeres,MX,82.17,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
513,Ugoofaaru,MV,80.87,broken clouds,5.6667,73.0,Ungoofaaru Inn
515,Maumere,ID,75.31,scattered clouds,-8.6199,122.2111,Sylvia Hotel
528,Florida,US,75.74,clear sky,28.7505,-82.5001,Sportsmens Cove
529,Santo Tomas,PH,84.49,light rain,14.1079,121.1414,Microtel by Wyndham Batangas
531,Fukue,JP,78.13,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
532,Mahibadhoo,MV,83.01,broken clouds,3.7833,72.9667,Omadhoo Inn
533,Oranjestad,AW,80.4,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
534,Ewo,CG,82.78,moderate rain,-0.8725,14.8206,Residence Elonda Ewo
535,Auki,SB,77.88,scattered clouds,-8.7676,160.7034,Auki Motel
539,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
545,Moyale,KE,78.66,scattered clouds,3.5167,39.0584,La Tahzan Guest House
546,Ojinaga,MX,82.58,clear sky,29.5667,-104.4167,Suites Las Palmas
549,Puerto Madero,MX,76.51,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
553,Carutapera,BR,77.85,broken clouds,-1.195,-46.02,Lidera
560,Saint-Francois,FR,82.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
561,Kirakira,SB,79.11,few clouds,-10.4544,161.9205,SanBiz Lodge
562,Srivardhan,IN,79.7,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
566,Worthington,US,75.36,scattered clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
568,Saint-Georges,GD,79.36,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
569,Marsh Harbour,BS,82.56,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
571,Cancun,MX,82.06,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
574,Bengkulu,ID,76.19,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
576,Trelleborg,SE,79.54,overcast clouds,55.3751,13.1569,Hotell Dannegården
578,Madingou,CG,84.2,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
580,Poshekhonye,RU,75.24,clear sky,58.4993,39.1353,Chudnoy Dvor
582,Caluquembe,AO,77.83,clear sky,-13.7833,14.6833,Hotel Kalukembe
583,Lolodorf,CM,75.87,light rain,3.2333,10.7333,Auberge la cité
584,Tyup,KG,81.21,clear sky,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
