City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Mayya,RU,2022-07-22 12:35:52,61.7333,130.2811,72.72,81,99,4.09
123,High Point,US,2022-07-22 12:35:53,35.9557,-80.0053,76.98,78,100,0.0
124,Salalah,OM,2022-07-22 12:35:53,17.0151,54.0924,80.69,83,75,10.36
125,Sola,VU,2022-07-22 12:35:53,-13.8833,167.55,81.27,89,100,4.61
126,Christiana,ZA,2022-07-22 12:35:54,-27.914,25.1611,68.54,31,66,13.18
127,Hamilton,US,2022-07-22 12:33:12,39.1834,-84.5333,77.86,82,0,8.05
128,Aripuana,BR,2022-07-22 12:34:25,-9.1667,-60.6333,82.76,43,1,3.6
129,Olafsvik,IS,2022-07-22 12:34:04,64.8945,-23.7142,52.36,84,100,6.17
130,Ucluelet,CA,2022-07-22 12:35:56,48.9329,-125.5528,58.08,92,99,1.1
131,Waddan,LY,2022-07-22 12:35:56,29.1614,16.139,91.22,20,0,6.44
132,Chokurdakh,RU,2022-07-22 12:35:58,70.6333,147.9167,44.35,73,100,13.47
133,Upington,ZA,2022-07-22 12:35:58,-28.4478,21.2561,79.18,18,0,10.36
134,Lavrentiya,RU,2022-07-22 12:35:59,65.5833,-171.0,37.67,88,56,11.74
135,Aklavik,CA,2022-07-22 12:35:59,68.2191,-135.0107,57.79,73,33,3.38
136,Lima,PE,2022-07-22 12:32:30,-12.0432,-77.0282,57.45,82,100,8.05
137,Cidreira,BR,2022-07-22 12:36:59,-30.1811,-50.2056,65.05,89,76,4.0
138,Norman Wells,CA,2022-07-22 12:37:00,65.282,-126.8329,50.04,93,40,2.3
139,Leningradskiy,RU,2022-07-22 12:37:00,69.3833,178.4167,32.49,96,98,7.09
140,Aransas Pass,US,2022-07-22 12:37:01,27.9095,-97.15,85.01,87,0,5.75
141,Avera,US,2022-07-22 12:37:01,33.194,-82.5271,77.05,83,100,6.44
142,Batagay-Alyta,RU,2022-07-22 12:37:01,67.8006,130.4114,62.42,83,100,4.5
143,Presidente Medici,BR,2022-07-22 12:37:02,-11.1753,-61.9014,82.87,38,0,2.59
144,Pangoa,PE,2022-07-22 12:37:02,-12.1167,-73.0,75.33,71,40,1.01
145,Williamsburg,US,2022-07-22 12:32:27,37.2707,-76.7075,79.92,95,75,5.75
146,Port Blair,IN,2022-07-22 12:33:20,11.6667,92.75,78.84,89,100,4.61
147,San Miguel,SV,2022-07-22 12:37:03,13.4833,-88.1833,74.86,100,40,3.44
148,Usvyaty,RU,2022-07-22 12:37:04,55.7456,30.7533,78.8,37,5,4.41
149,Gat,IL,2022-07-22 12:37:03,31.61,34.7642,92.39,37,0,14.61
150,Kahului,US,2022-07-22 12:37:04,20.8947,-156.47,76.84,78,0,11.5
151,Sesheke,ZM,2022-07-22 12:37:04,-17.4759,24.2968,80.35,22,100,5.73
152,East London,ZA,2022-07-22 12:37:05,-33.0153,27.9116,70.74,40,0,2.3
153,Baringo,KE,2022-07-22 12:37:05,0.4667,35.9667,87.08,32,29,9.91
154,Lebu,CL,2022-07-22 12:34:02,-37.6167,-73.65,53.29,97,100,8.46
155,Petauke,ZM,2022-07-22 12:37:06,-14.2426,31.3253,75.49,31,100,8.79
156,Kokopo,PG,2022-07-22 12:37:06,-4.352,152.2633,78.22,81,42,2.84
157,Komsomolskiy,UZ,2022-07-22 12:37:07,40.4272,71.7189,104.72,13,0,4.61
158,Lufilufi,WS,2022-07-22 12:37:07,-13.8745,-171.5986,69.58,78,53,12.39
159,Tomatlan,MX,2022-07-22 12:37:07,19.9333,-105.25,78.62,92,97,2.53
160,Nome,US,2022-07-22 12:34:01,64.5011,-165.4064,46.47,93,100,5.75
161,Portobelo,PA,2022-07-22 12:37:08,9.55,-79.65,77.95,85,83,4.63
162,Kumluca,TR,2022-07-22 12:37:08,36.3703,30.2869,89.26,39,0,11.59
163,Mnogovershinnyy,RU,2022-07-22 12:37:09,53.9353,139.9242,49.96,79,75,5.03
164,Marietta,US,2022-07-22 12:37:09,33.9526,-84.5499,73.0,95,100,1.01
165,Lagos,NG,2022-07-22 12:35:49,6.5833,3.75,83.71,65,97,8.99
166,Manzanillo,CU,2022-07-22 12:37:09,20.3433,-77.1167,79.56,77,1,7.43
167,Muskogee,US,2022-07-22 12:37:10,35.5834,-95.3336,75.34,90,0,0.0
168,Kavaratti,IN,2022-07-22 12:37:10,10.5669,72.642,81.27,81,100,19.82
169,Olinda,BR,2022-07-22 12:37:07,-8.0089,-34.8553,74.93,83,75,8.05
170,Sao Felix Do Xingu,BR,2022-07-22 12:37:11,-6.6447,-51.995,85.28,35,89,3.67
171,Ahipara,NZ,2022-07-22 12:37:11,-35.1667,173.1667,50.04,89,93,5.75
172,Hobart,AU,2022-07-22 12:37:12,-42.8794,147.3294,49.86,76,75,8.05
173,Dno,RU,2022-07-22 12:37:12,57.8277,29.9637,80.15,41,16,2.08
174,La Rioja,ES,2022-07-22 12:37:12,42.25,-2.5,76.78,38,100,10.18
175,Tazmalt,DZ,2022-07-22 12:37:13,36.3868,4.3989,102.27,17,1,6.15
176,Kodiak,US,2022-07-22 12:35:19,57.79,-152.4072,49.51,66,75,10.36
177,Lasa,IT,2022-07-22 12:37:13,46.6166,10.7002,90.7,46,45,4.94
178,Dezhou,CN,2022-07-22 12:37:14,37.4486,116.2925,70.41,95,100,8.57
179,Vestmannaeyjar,IS,2022-07-22 12:37:14,63.4427,-20.2734,50.99,100,100,8.05
180,Batemans Bay,AU,2022-07-22 12:37:15,-35.7167,150.1833,54.1,85,13,2.95
181,Rochegda,RU,2022-07-22 12:37:15,62.8,43.25,80.69,46,99,6.53
182,Samarai,PG,2022-07-22 12:37:16,-10.6167,150.6667,80.71,79,29,5.06
183,Zhezkazgan,KZ,2022-07-22 12:37:16,47.8043,67.7144,85.98,19,40,8.95
184,Taoudenni,ML,2022-07-22 12:38:16,22.6783,-3.9836,107.28,17,5,2.24
185,Narsaq,GL,2022-07-22 12:38:17,60.9167,-46.05,53.82,57,62,2.04
186,Kirkuk,IQ,2022-07-22 12:35:00,35.4681,44.3922,104.81,9,0,16.35
187,Balingen,DE,2022-07-22 12:38:17,48.2752,8.8546,87.24,36,1,3.0
188,Naze,JP,2022-07-22 12:38:18,28.3667,129.4833,79.72,86,95,7.7
189,Mahajanga,MG,2022-07-22 12:38:18,-15.7167,46.3167,86.02,39,20,9.22
190,Tuni,IN,2022-07-22 12:38:18,17.35,82.55,83.44,76,100,12.91
191,Sur,OM,2022-07-22 12:35:21,22.5667,59.5289,95.76,54,17,3.09
192,Imbituba,BR,2022-07-22 12:38:19,-28.24,-48.6703,69.1,89,78,6.35
193,Sitka,US,2022-07-22 12:38:19,57.0531,-135.33,53.49,82,100,0.0
194,Faya,SA,2022-07-22 12:38:20,18.3851,42.4509,87.91,33,44,8.46
195,Mato Verde,BR,2022-07-22 12:38:20,-15.3972,-42.8664,75.63,51,24,8.5
196,Iqaluit,CA,2022-07-22 12:38:21,63.7506,-68.5145,42.53,100,75,2.3
197,Provideniya,RU,2022-07-22 12:38:21,64.3833,-173.3,40.5,84,89,9.17
198,Pahrump,US,2022-07-22 12:37:21,36.2083,-115.9839,82.45,23,16,3.85
199,Nemuro,JP,2022-07-22 12:38:22,43.3236,145.575,61.21,87,100,4.09
200,Meulaboh,ID,2022-07-22 12:38:22,4.1363,96.1285,79.86,84,100,6.71
201,Alice Springs,AU,2022-07-22 12:38:23,-23.7,133.8833,54.95,33,0,6.91
202,Tiksi,RU,2022-07-22 12:38:23,71.6872,128.8694,43.43,78,85,9.71
203,Cocobeach,GA,2022-07-22 12:38:23,1.0002,9.5823,77.2,76,55,13.42
204,Saldanha,ZA,2022-07-22 12:38:24,-33.0117,17.9442,64.45,69,100,5.97
205,Bonnyville,CA,2022-07-22 12:35:38,54.2668,-110.735,56.52,87,80,10.87
206,Dali,CN,2022-07-22 12:38:24,25.7,100.1833,68.16,78,100,2.64
207,Katghora,IN,2022-07-22 12:38:25,22.5,82.55,81.52,83,100,1.32
