City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Prince Rupert,CA,54.3161,-130.3201,57.29,97,100,9.22,light rain
112,Samfya,ZM,-11.3649,29.5565,79.86,29,5,4.34,clear sky
113,Pisco,PE,-13.7,-76.2167,53.65,87,55,4.61,smoke
114,Leningradskiy,RU,69.3833,178.4167,33.48,96,100,5.26,overcast clouds
115,Beringovskiy,RU,63.05,179.3167,45.07,76,100,7.96,overcast clouds
116,Ahipara,NZ,-35.1667,173.1667,61.0,93,35,16.2,scattered clouds
117,Ilulissat,GL,69.2167,-51.1,38.79,94,98,0.63,overcast clouds
118,Kavieng,PG,-2.5744,150.7967,81.84,80,7,15.37,light rain
119,Bluff,NZ,-46.6,168.3333,41.81,88,99,20.38,overcast clouds
120,Valle De Allende,MX,26.9333,-105.4,68.04,58,62,6.2,broken clouds
121,Vardo,NO,70.3705,31.1107,55.38,76,20,9.22,few clouds
122,Gambo,CF,4.6482,22.2633,80.91,82,100,1.01,moderate rain
123,Pecos,US,31.4229,-103.4932,83.23,39,75,10.36,broken clouds
124,Souillac,MU,-20.5167,57.5167,73.78,68,40,11.5,scattered clouds
125,Adrar,MR,20.5022,-10.0711,98.1,29,23,16.73,few clouds
126,Tigil,RU,57.8,158.6667,52.93,74,33,4.27,scattered clouds
127,Yenagoa,NG,4.9247,6.2642,76.73,84,100,5.44,light rain
128,Omboue,GA,-1.5746,9.2618,78.35,66,95,6.08,overcast clouds
129,Machilipatnam,IN,16.1667,81.1333,89.01,60,100,6.29,overcast clouds
130,Thompson,CA,55.7435,-97.8558,50.16,93,75,2.3,broken clouds
131,Isangel,VU,-19.55,169.2667,77.0,87,90,4.14,overcast clouds
132,Yellowknife,CA,62.456,-114.3525,57.72,88,75,9.22,broken clouds
133,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,81,0,4.61,clear sky
134,Mokrousovo,RU,55.8103,66.7653,82.08,52,11,9.04,few clouds
135,Rawson,AR,-43.3002,-65.1023,41.25,81,100,11.95,overcast clouds
136,Ilebo,CD,-4.3167,20.5833,101.1,24,79,1.88,broken clouds
137,Ilo,PE,-17.6394,-71.3375,58.06,82,75,6.91,broken clouds
138,Clonakilty,IE,51.6231,-8.8706,65.08,63,79,19.35,broken clouds
139,Namibe,AO,-15.1961,12.1522,68.63,83,100,0.0,overcast clouds
140,Kazanskaya,RU,45.4106,40.4361,85.71,30,46,9.31,scattered clouds
141,Brownsville,US,25.9018,-97.4975,81.91,85,0,4.61,clear sky
142,Ashqelon,IL,31.6693,34.5715,95.79,48,0,11.3,clear sky
143,Kaitangata,NZ,-46.2817,169.8464,46.29,88,100,17.76,light rain
144,Bethel,US,41.3712,-73.414,79.86,91,100,1.01,overcast clouds
145,Songjianghe,CN,42.1859,127.479,65.61,96,27,2.46,scattered clouds
146,Khandyga,RU,62.6667,135.6,68.99,58,96,7.05,overcast clouds
147,Lasa,IT,46.6166,10.7002,84.36,49,29,3.53,scattered clouds
148,Sola,VU,-13.8833,167.55,80.37,79,18,9.86,few clouds
149,Umbuzeiro,BR,-7.6956,-35.6636,68.22,81,87,13.22,overcast clouds
150,Pevek,RU,69.7008,170.3133,36.19,86,97,11.68,overcast clouds
151,Codrington,AU,-38.2667,141.9667,50.07,85,100,17.83,overcast clouds
152,San Marcos,US,33.1434,-117.1661,68.77,86,100,4.61,overcast clouds
153,Samdari,IN,25.8167,72.5833,92.21,51,96,10.02,overcast clouds
154,Flinders,AU,-34.5833,150.8552,59.38,82,37,5.99,scattered clouds
155,Esperance,AU,-33.8667,121.9,55.06,60,3,11.92,clear sky
156,Beaverlodge,CA,55.2166,-119.4361,58.35,81,84,7.05,broken clouds
157,Kodiak,US,57.79,-152.4072,58.51,82,20,11.5,few clouds
158,Varzea Da Palma,BR,-17.5981,-44.7308,66.79,57,2,2.51,clear sky
159,Les Cayes,HT,18.2,-73.75,79.41,82,93,8.21,overcast clouds
160,Ixtapa,MX,20.7,-105.2,78.22,88,100,1.01,overcast clouds
161,Saldanha,ZA,-33.0117,17.9442,69.85,42,0,8.95,clear sky
162,Argelia,CO,2.2556,-77.2488,64.54,98,100,1.12,light rain
163,Tara,RU,56.8944,74.371,65.75,77,99,4.85,overcast clouds
164,Chagoda,RU,59.164,35.3285,69.03,70,99,7.16,overcast clouds
165,Artesia,US,33.8658,-118.0831,70.79,86,100,1.99,overcast clouds
166,Dhidhdhoo,MV,6.8833,73.1,81.66,74,41,14.41,scattered clouds
167,Havelock,US,34.8791,-76.9013,82.38,91,0,6.91,clear sky
168,Vimperk,CZ,49.0586,13.7829,84.34,41,2,5.79,clear sky
169,Samur,RU,41.8253,48.486,81.43,45,15,11.52,few clouds
170,Mataura,NZ,-46.1927,168.8643,41.49,91,100,8.34,overcast clouds
171,Emerald,AU,-23.5333,148.1667,58.33,75,0,8.66,clear sky
172,Port Moresby,PG,-9.4431,147.1797,78.22,89,20,17.27,few clouds
173,Burnie,AU,-41.0667,145.9167,55.92,90,100,7.99,light rain
174,Hearst,CA,49.6835,-83.6665,53.85,94,100,9.51,overcast clouds
175,Wanning,CN,18.8003,110.3967,83.75,78,12,5.01,few clouds
176,Qasigiannguit,GL,68.8193,-51.1922,39.88,89,99,1.66,overcast clouds
177,Iskateley,RU,67.6803,53.1512,54.55,75,95,22.17,light rain
178,Huarmey,PE,-10.0681,-78.1522,61.77,89,100,5.26,overcast clouds
179,Ovruch,UA,51.3246,28.8035,70.56,60,94,8.63,overcast clouds
180,Corinth,GR,37.9407,22.9573,91.89,21,1,5.21,clear sky
181,Kidal,ML,18.4411,1.4078,97.95,25,19,11.7,few clouds
182,Buchanan,LR,5.8808,-10.0467,79.45,64,84,6.87,broken clouds
183,Avera,US,33.194,-82.5271,71.65,90,24,5.23,few clouds
184,Toyooka,JP,35.5333,134.8333,76.77,93,34,1.63,light rain
185,Constitucion,CL,-35.3333,-72.4167,52.72,87,100,14.72,overcast clouds
186,Solnechnyy,RU,50.7214,136.6319,68.58,91,42,2.59,moderate rain
187,Klaksvik,FO,62.2266,-6.589,52.72,83,96,17.36,overcast clouds
188,Tongzi,CN,28.7829,105.0877,88.43,73,36,4.99,scattered clouds
189,Ayame,CI,5.6083,-3.1563,82.47,58,58,2.42,broken clouds
190,Iqaluit,CA,63.7506,-68.5145,42.53,93,75,4.61,broken clouds
191,Dwarka,IN,22.2394,68.9678,83.59,79,57,22.75,broken clouds
192,Airai,TL,-8.9266,125.4092,55.53,85,10,2.82,clear sky
193,Santiago Del Estero,AR,-27.7951,-64.2615,64.36,83,0,7.14,clear sky
194,Gidam,IN,18.9833,81.4,81.37,77,100,5.17,overcast clouds
195,Majene,ID,-3.5403,118.9707,80.06,80,78,8.28,broken clouds
196,Port Blair,IN,11.6667,92.75,83.16,76,67,8.68,broken clouds
197,Severo-Yeniseyskiy,RU,60.3725,93.0408,57.24,89,100,2.06,overcast clouds
198,Nacimiento,CL,-37.5,-72.6667,48.88,98,100,2.19,light rain
199,Barcelos,PT,41.5388,-8.6151,79.68,44,11,8.79,few clouds
200,Aviles,ES,43.5547,-5.9248,75.38,77,0,11.99,clear sky
201,Hervey Bay,AU,-25.2986,152.8535,63.79,74,0,5.59,clear sky
202,Hamilton,US,39.1834,-84.5333,76.44,90,100,11.5,overcast clouds
203,High Rock,BS,26.6208,-78.2833,77.02,71,95,16.46,overcast clouds
204,Ravar,IR,31.2656,56.8055,104.47,13,3,14.34,clear sky
205,Sokoto,NG,13.0609,5.239,92.26,44,100,10.29,overcast clouds
206,Lubao,PH,14.9167,120.55,82.47,81,75,1.83,broken clouds
207,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,83,75,4.9,broken clouds
208,Meulaboh,ID,4.1363,96.1285,76.5,91,81,4.99,light rain
209,Geraldton,AU,-28.7667,114.6,50.41,76,0,8.05,clear sky
210,Kargopol,RU,61.5071,38.9456,64.71,81,100,3.49,overcast clouds
211,Uvat,RU,59.1433,68.8953,74.66,67,99,4.0,overcast clouds
212,Katsuura,JP,35.1333,140.3,79.63,92,100,13.76,overcast clouds
213,Atar,MR,20.5169,-13.0499,102.87,16,0,10.74,clear sky
214,Hay River,CA,60.8156,-115.7999,49.84,83,83,8.25,broken clouds
215,San Patricio,US,28.017,-97.5169,82.85,85,0,5.73,clear sky
216,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,9.22,broken clouds
217,Tiksi,RU,71.6872,128.8694,50.63,78,94,1.74,overcast clouds
218,Dulce Grande,MX,23.0,-102.1667,61.43,85,20,9.33,few clouds
219,Coquimbo,CL,-29.9533,-71.3436,53.33,82,100,5.75,overcast clouds
220,Banga,PH,6.4239,124.7783,76.84,91,99,0.72,overcast clouds
221,Riyadh,SA,24.6877,46.7219,109.54,10,10,9.31,clear sky
222,Faya,SA,18.3851,42.4509,77.11,53,92,9.6,moderate rain
223,Sabzevar,IR,36.2126,57.6819,105.08,12,0,21.85,clear sky
224,Magadan,RU,59.5667,150.8,58.53,87,73,6.46,broken clouds
225,Illapel,CL,-31.6308,-71.1653,51.89,89,100,1.97,overcast clouds
226,Williston,US,48.147,-103.618,63.32,73,94,5.3,overcast clouds
227,Progreso,MX,21.2833,-89.6667,76.1,93,93,7.11,overcast clouds
228,Guerrero Negro,MX,27.9769,-114.0611,66.83,89,36,5.53,scattered clouds
229,Olafsvik,IS,64.8945,-23.7142,52.02,68,95,5.7,overcast clouds
230,Rio Grande,BR,-32.035,-52.0986,59.11,99,100,4.88,overcast clouds
231,Stornoway,GB,58.2093,-6.3865,57.16,79,75,18.41,broken clouds
232,Sangar,RU,63.9242,127.4739,72.1,68,16,2.55,few clouds
233,Luganville,VU,-15.5333,167.1667,78.06,85,28,1.48,scattered clouds
234,Helena,US,46.5927,-112.0361,55.99,70,1,4.03,clear sky
235,Priekule,LV,56.4468,21.5897,69.12,48,48,8.93,scattered clouds
236,Ponta Do Sol,PT,32.6667,-17.1,90.23,32,44,4.85,scattered clouds
237,Sao Filipe,CV,14.8961,-24.4956,78.39,85,91,7.25,light rain
238,Gornyy,RU,55.1153,83.9059,64.42,78,84,9.08,light rain
239,Kapenguria,KE,1.2511,35.0895,65.95,73,61,4.14,moderate rain
240,Poum,NC,-20.2333,164.0167,73.42,77,0,18.68,clear sky
241,Hualmay,PE,-11.0964,-77.6139,60.75,86,100,6.15,overcast clouds
242,Wuan,CN,31.6836,112.0044,87.03,76,45,7.52,scattered clouds
243,Mahebourg,MU,-20.4081,57.7,75.25,68,40,11.5,scattered clouds
244,Kualakapuas,ID,-3.0091,114.3876,78.62,73,87,4.88,overcast clouds
245,Tilichiki,RU,60.4667,166.1,50.16,86,75,5.44,broken clouds
246,Manado,ID,1.487,124.8455,84.97,65,75,5.75,broken clouds
247,Kyaukse,MM,21.6,96.1333,100.4,44,75,3.44,broken clouds
248,Port Lincoln,AU,-34.7333,135.8667,53.38,59,38,15.05,scattered clouds
249,El Carmen,CO,8.5106,-73.4478,66.85,97,100,2.57,overcast clouds
250,Revelstoke,CA,50.9832,-118.2023,64.42,77,75,3.44,broken clouds
251,Abu Dhabi,AE,24.4667,54.3667,105.91,59,74,12.66,broken clouds
252,Lumby,CA,50.2498,-118.969,71.89,68,100,1.14,overcast clouds
253,Khatanga,RU,71.9667,102.5,77.0,56,100,10.07,overcast clouds
254,Mpanda,TZ,-6.3655,31.0409,88.66,24,52,7.09,broken clouds
255,Cidreira,BR,-30.1811,-50.2056,62.46,92,61,3.69,broken clouds
256,Khair,IN,27.95,77.8333,98.83,36,61,11.07,broken clouds
257,Butajira,ET,8.1167,38.3667,70.99,62,92,6.96,light rain
258,Kuytun,RU,54.3419,101.5036,66.42,76,100,7.11,overcast clouds
259,San Matias,BO,-16.3667,-58.4,70.54,47,17,2.64,few clouds
260,Proletarskiy,RU,50.7914,35.7731,71.55,69,100,2.68,overcast clouds
261,Huilong,CN,31.8111,121.655,79.36,88,24,14.14,few clouds
262,Saint-Joseph,RE,-21.3667,55.6167,72.21,69,18,11.59,few clouds
263,Mayumba,GA,-3.432,10.6554,74.98,76,97,3.71,overcast clouds
264,Salawagan,PH,7.7053,125.115,75.02,95,100,0.31,overcast clouds
265,Belyye Berega,RU,53.2085,34.6641,69.98,90,100,5.95,light rain
266,Khor,RU,47.8861,134.9464,67.26,92,13,6.24,few clouds
267,Tombouctou,ML,20.0,-3.0,97.65,26,57,5.1,broken clouds
268,Talnakh,RU,69.4865,88.3972,63.21,46,95,23.71,overcast clouds
269,Dnipryany,UA,46.7463,33.2729,83.55,44,89,3.33,light rain
270,Nome,US,64.5011,-165.4064,49.15,92,100,9.66,light rain
271,Cedar Mill,US,45.5248,-122.8109,68.18,71,17,3.11,few clouds
272,Merrill,US,45.1805,-89.6835,51.89,97,0,0.0,clear sky
273,Scarborough,GB,54.2797,-0.4044,69.91,76,55,5.99,broken clouds
274,Mount Gambier,AU,-37.8333,140.7667,49.91,81,40,19.57,scattered clouds
275,Amapa,BR,1.0,-52.0,74.5,89,41,1.83,scattered clouds
276,Cabo San Lucas,MX,22.8909,-109.9124,79.52,83,93,5.01,overcast clouds
277,Saint Anthony,US,45.0205,-93.218,59.14,89,0,0.0,clear sky
278,Mackenzie,CA,55.2999,-123.1698,53.82,94,0,0.0,clear sky
279,Bambous Virieux,MU,-20.3428,57.7575,74.21,68,40,11.5,scattered clouds
280,Bonfim,BR,3.0833,-59.95,74.62,90,100,3.13,overcast clouds
281,Suez,EG,29.9737,32.5263,97.86,21,0,9.24,clear sky
282,Severo-Kurilsk,RU,50.6789,156.125,50.85,94,100,14.03,overcast clouds
283,Dingle,PH,10.9995,122.6711,77.68,92,100,5.39,light rain
284,Ribeira Brava,PT,32.65,-17.0667,90.23,32,49,5.32,scattered clouds
285,Katangli,RU,51.7102,143.2326,57.24,97,95,7.63,light rain
286,Turayf,SA,31.6725,38.6637,98.85,14,0,6.91,clear sky
287,Ust-Nera,RU,64.5667,143.2,65.82,46,27,1.1,scattered clouds
288,Big Spring,US,32.2504,-101.4787,80.24,63,0,13.8,clear sky
289,Svetlyy,RU,54.675,20.1347,75.25,46,43,3.49,scattered clouds
290,Gazojak,TM,41.1875,61.4036,106.56,14,59,14.2,broken clouds
291,Hobyo,SO,5.3505,48.5268,82.08,65,9,31.03,clear sky
292,Pangai,TO,-19.8,-174.35,74.52,65,100,18.03,overcast clouds
293,Ilheus,BR,-14.7889,-39.0494,69.62,100,75,3.44,broken clouds
294,Tabas,IR,33.5959,56.9244,111.81,9,0,5.64,clear sky
295,Faanui,PF,-16.4833,-151.75,76.66,80,33,8.41,light rain
296,Vernon,CA,50.2581,-119.2691,73.44,52,100,5.01,overcast clouds
297,Bedi,IN,22.5,70.05,88.3,62,90,21.14,overcast clouds
298,Broome,US,42.2506,-75.833,73.6,94,100,1.99,moderate rain
299,Mozarlandia,BR,-14.7447,-50.5706,74.3,42,0,5.88,clear sky
300,Lazaro Cardenas,MX,17.9583,-102.2,76.05,87,99,5.68,overcast clouds
301,Karratha,AU,-20.7377,116.8463,70.12,54,0,5.79,clear sky
302,Machali,CL,-34.1833,-70.6667,50.97,81,100,0.69,overcast clouds
303,Mehamn,NO,71.0357,27.8492,57.11,76,20,10.36,few clouds
304,Manokwari,ID,-0.8667,134.0833,79.57,83,64,3.96,broken clouds
305,Richards Bay,ZA,-28.783,32.0377,66.34,48,82,15.61,broken clouds
306,Olavarria,AR,-36.8927,-60.3225,48.02,87,100,11.61,overcast clouds
307,Honiara,SB,-9.4333,159.95,78.37,84,43,5.93,scattered clouds
308,Vieques,PR,18.425,-65.8329,80.62,83,40,11.5,haze
309,Saint-Pierre,RE,-21.3393,55.4781,75.9,68,75,21.85,broken clouds
310,Suntar,RU,62.1444,117.6319,85.06,55,25,6.93,scattered clouds
311,Kuito,AO,-12.3833,16.9333,77.25,20,25,6.69,scattered clouds
312,Najran,SA,17.4924,44.1277,88.45,29,97,3.94,overcast clouds
313,Aklavik,CA,68.2191,-135.0107,47.8,87,51,4.92,broken clouds
314,Grootfontein,NA,-19.5667,18.1167,76.57,23,20,8.05,few clouds
315,Karasburg,NA,-28.0167,18.75,73.42,17,0,14.72,clear sky
316,Tanuku,IN,16.75,81.7,88.16,59,100,9.24,overcast clouds
317,Praya,CV,14.9215,-23.5087,82.94,74,20,5.75,few clouds
318,Launceston,AU,-41.45,147.1667,56.84,80,75,14.97,broken clouds
319,Adolfo Lopez Mateos,MX,28.4667,-107.3,55.92,85,91,2.13,overcast clouds
320,Naryan-Mar,RU,67.6713,53.087,54.46,76,94,22.21,light rain
321,Rundu,NA,-17.9333,19.7667,82.92,17,0,8.57,clear sky
322,Srednekolymsk,RU,67.45,153.6833,56.01,49,51,12.68,broken clouds
323,Fort Nelson,CA,58.8053,-122.7002,58.59,77,75,3.44,broken clouds
324,Asau,RO,46.4333,26.4,83.95,53,78,3.76,broken clouds
325,Flin Flon,CA,54.7682,-101.865,56.28,98,100,6.08,overcast clouds
326,Serowe,BW,-22.3833,26.7167,66.18,50,62,13.53,broken clouds
327,Rocha,UY,-34.4833,-54.3333,58.77,98,100,3.0,moderate rain
328,Bloemfontein,ZA,-29.1211,26.214,56.68,30,0,8.05,clear sky
329,Harrison,US,30.4091,-89.0436,76.05,98,27,1.48,scattered clouds
330,Aksarka,RU,66.5606,67.7975,59.58,50,92,16.89,overcast clouds
331,Becerril,CO,9.7041,-73.2793,73.45,88,100,2.13,overcast clouds
332,Vila Velha,BR,-20.3297,-40.2925,67.95,96,75,5.75,broken clouds
333,Carnarvon,AU,-24.8667,113.6333,67.41,35,0,10.83,clear sky
334,Mersing,MY,2.4312,103.8405,82.31,83,40,5.75,scattered clouds
335,Jizan,SA,17.3333,42.6667,92.34,43,97,12.37,overcast clouds
336,Coihaique,CL,-45.5752,-72.0662,31.95,80,100,3.44,overcast clouds
337,Taoudenni,ML,22.6783,-3.9836,107.1,15,70,14.72,broken clouds
338,Awjilah,LY,29.1081,21.2869,99.59,10,1,9.93,clear sky
339,Tautira,PF,-17.7333,-149.15,76.91,83,44,10.65,moderate rain
340,Taganak,PH,6.0833,118.3,84.34,75,95,9.86,overcast clouds
341,Nyimba,ZM,-14.5566,30.8149,84.09,23,18,7.76,few clouds
342,Shuyskoye,RU,59.3736,41.0305,75.67,73,93,4.36,light rain
343,San Ignacio,BZ,17.1561,-89.0714,73.54,94,20,0.0,few clouds
344,Koungou,YT,-12.7336,45.2042,82.11,61,0,12.66,clear sky
345,Nushki,PK,29.5542,66.0215,91.45,37,100,16.2,overcast clouds
346,Tiznit,MA,29.5833,-9.5,103.6,12,74,1.97,broken clouds
347,Mareeba,AU,-17.0,145.4333,65.12,88,0,2.73,clear sky
348,Harper,LR,4.375,-7.7169,77.14,69,100,6.64,overcast clouds
